price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county,cluster
399900,4,3,1.6,Blandford,1008,1960,01/05/2015,Hampden,pink
675000,4,3,0.69,Blandford,1008,3476,02/07/2007,Hampden,dark purple
1237542,4,3,100.5,Blandford,1008,3063,29/08/2007,Hampden,dark purple
239900,3,2,0.4,Ware,1082,1911,27/07/1998,Hampshire,pink
329000,4,1,0.64,Longmeadow,1028,1296,23/06/2017,Hampden,pink
369900,12,3,0.15,Springfield,1105,3902,24/12/2014,Hampden,dark purple
299900,3,2,0.15,Springfield,1118,1613,30/01/2014,Hampden,pink
289900,5,3,0.14,Springfield,1108,2328,20/11/1987,Hampden,dark purple
350000,4,4,0.21,Springfield,1129,2016,24/07/2007,Hampden,pink
260000,3,1,0.39,Palmer,1069,1166,16/01/2013,Hampden,pink
375000,9,3,0.11,Springfield,1151,3656,18/06/2008,Hampden,dark purple
129900,4,2,1,Brimfield,1010,1765,26/11/2003,Hampden,pink
164900,2,1,0.35,Brimfield,1010,814,16/01/2004,Hampden,pink
559000,4,4,1.52,Brimfield,1010,3408,30/03/2005,Hampden,dark purple
899900,3,4,5.93,Brimfield,1010,5500,01/04/1993,Hampden,dark purple
115900,3,1,0.25,Chester,1011,1367,13/11/2009,Hampden,pink
160000,1,1,0.47,Cummington,1026,608,25/10/2019,Hampshire,pink
649000,3,3,21,Granville,1034,3362,27/06/1996,Hampden,pink
149900,3,2,0.24,Becket,1223,1422,20/07/1994,Berkshire,pink
289900,3,3,0.14,Springfield,1104,1588,09/06/2005,Hampden,pink
439900,3,2,1.13,Westfield,1085,2448,29/10/2004,Hampden,pink
379900,3,2,0.49,Agawam,1030,1708,06/08/1992,Hampden,pink
149900,2,1,3,Savoy,1256,980,20/09/2006,Berkshire,pink
195000,2,1,0.12,Springfield,1104,864,30/06/1994,Hampden,pink
349900,3,2,4.28,Southwick,1077,1410,28/03/1990,Hampden,pink
299900,3,2,0.37,West Springfield,1089,1269,17/11/2017,Hampden,pink
299413,3,2,0.34,Westfield,1085,1424,10/11/2021,Hampden,pink
389999,6,3,0.14,West Springfield,1089,2673,28/11/2006,Hampden,dark purple
349900,3,2,0.34,Westfield,1085,1536,30/03/2018,Hampden,pink
349900,4,2,1.03,East Longmeadow,1028,1638,28/08/2009,Hampden,pink
129000,1,1,0.09,East Longmeadow,1028,793,10/08/2001,Hampden,pink
674444,4,5,0.26,East Longmeadow,1028,4122,24/01/2003,Hampden,dark purple
249900,3,2,0.23,East Longmeadow,1028,1259,10/05/2019,Hampden,pink
279000,2,1,0.38,East Longmeadow,1028,988,28/04/2005,Hampden,pink
259000,3,1,0.8,East Longmeadow,1028,1196,24/10/2019,Hampden,pink
399000,4,3,0.28,East Longmeadow,1028,2500,21/06/2019,Hampden,pink
739900,4,4,0.97,East Longmeadow,1028,3000,28/09/2006,Hampden,dark purple
299000,2,2,0.46,East Longmeadow,1028,1174,17/12/2001,Hampden,pink
304900,4,1,0.22,East Longmeadow,1028,1425,26/03/2013,Hampden,pink
409900,2,1,0.57,East Longmeadow,1028,1020,20/08/2001,Hampden,pink
589900,4,3,0.61,Agawam,1030,2857,31/07/2006,Hampden,pink
300000,3,1,0.28,Agawam,1030,1260,15/09/2006,Hampden,pink
439900,5,4,0.53,Agawam,1030,2094,31/07/1996,Hampden,dark purple
269900,3,1,1.41,Hardwick,1031,1092,08/12/1989,Worcester,pink
399900,9,6,0.19,Adams,1220,5364,25/06/1998,Berkshire,dark purple
159900,2,2,0.28,Adams,1220,1206,28/10/2011,Berkshire,pink
324900,13,7,0.2,Adams,1220,4233,15/09/2008,Berkshire,dark purple
349900,3,3,1.4,Buckland,1339,2234,29/07/2005,Franklin,pink
150000,3,1,0.09,Springfield,1104,1303,27/08/1998,Hampden,pink
199900,9,3,0.13,Springfield,1104,3511,02/06/2005,Hampden,dark purple
2995000,4,8,12.1,Worthington,1098,14240,05/10/2001,Hampshire,purple
144000,1,1,5.46,Cummington,1026,600,05/05/2021,Hampshire,pink
139900,3,1,0.17,Pittsfield,1201,1180,06/12/2005,Berkshire,pink
209000,3,2,0.16,Pittsfield,1201,1352,21/11/2001,Berkshire,pink
231500,3,1,0.31,Pittsfield,1201,1152,28/06/2000,Berkshire,pink
324900,3,2,0.5,Cheshire,1225,1756,14/09/1993,Berkshire,pink
380000,4,2,17.84,Huntington,1050,2196,08/09/2014,Hampshire,pink
225000,5,3,0.15,Pittsfield,1201,2549,01/12/1997,Berkshire,dark purple
209900,4,2,0.21,Pittsfield,1201,1200,28/07/2005,Berkshire,pink
355000,3,3,0.52,Cheshire,1225,2191,03/12/2007,Berkshire,pink
629900,4,3,0.46,Pittsfield,1201,2908,01/12/2010,Berkshire,pink
400000,3,2,2.99,Otis,1253,2372,06/10/1993,Berkshire,pink
429000,3,2,0.16,Great Barrington,1230,1500,01/03/1991,Berkshire,pink
1390000,14,15,2.4,Great Barrington,1230,10302,12/06/2009,Berkshire,purple
839000,9,9,1,Sheffield,1257,5358,01/05/2001,Berkshire,dark purple
699000,3,3,2,Monterey,1230,2482,07/01/2002,Berkshire,pink
449797,5,3,0.19,Great Barrington,1230,2173,04/08/2004,Berkshire,dark purple
799000,4,4,9.3,Granville,1034,3164,16/12/1997,Hampden,dark purple
575000,3,2,4.1,Sheffield,1222,1900,23/06/2003,Berkshire,pink
869000,6,6,0.76,Longmeadow,1106,3902,01/06/1986,Hampden,dark purple
239999,4,2,0.1,Springfield,1104,2160,02/03/1988,Hampden,pink
2100000,3,3,5.2,Great Barrington,1230,2900,11/05/2006,Berkshire,pink
349000,1,1,2.23,Sandisfield,1255,5104,12/12/2008,Berkshire,pink
3250000,7,7,24.35,New Marlborough,1259,6200,12/11/2004,Berkshire,purple
729000,4,4,1.3,Sheffield,1257,5005,17/10/2000,Berkshire,dark purple
649000,4,3,0.87,Longmeadow,1106,2501,01/12/1979,Hampden,pink
250000,6,2,0.1,Springfield,1109,1728,07/01/2004,Hampden,pink
229000,10,5,0.19,Pittsfield,1201,4260,11/02/2002,Berkshire,dark purple
124900,3,1,0.31,Pittsfield,1201,1892,07/06/2002,Berkshire,pink
109900,6,2,0.57,Hinsdale,1235,2979,01/06/1993,Berkshire,dark purple
224900,3,1,0.21,Pittsfield,1201,1746,24/07/1987,Berkshire,pink
254900,7,4,0.4,Adams,1220,2992,24/07/2007,Berkshire,dark purple
169900,2,1,0.22,Pittsfield,1201,1175,30/06/1999,Berkshire,pink
149900,5,3,0.1,Pittsfield,1201,2027,18/01/2008,Berkshire,dark purple
264999,2,2,0.24,Pittsfield,1201,1044,21/06/1991,Berkshire,pink
