,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county
1372,569900.0,3.0,2.0,0.46,Wilmington,1887.0,1751.0,2007-04-30,Middlesex
1373,799900.0,4.0,3.0,0.38,Tewksbury,1876.0,2168.0,1995-10-03,Middlesex
1374,635000.0,2.0,2.0,0.11,Waltham,2453.0,1432.0,2003-09-30,Middlesex
1375,899000.0,4.0,2.0,0.15,Melrose,2176.0,1925.0,2002-07-01,Middlesex
1376,639000.0,3.0,2.0,0.11,Medford,2155.0,1419.0,1990-02-23,Middlesex
1377,899000.0,4.0,2.0,0.13,Medford,2155.0,2293.0,2007-11-30,Middlesex
1378,1750000.0,3.0,3.0,0.03,Boston,2129.0,2312.0,2007-03-23,Suffolk
1379,1150000.0,1.0,1.0,0.02,Boston,2116.0,825.0,2002-09-30,Suffolk
1380,2190000.0,5.0,3.0,0.05,Brookline,2446.0,2763.0,1991-03-01,Norfolk
1381,2299000.0,3.0,3.0,0.1,Brookline,2446.0,2543.0,2003-05-01,Norfolk
1382,489900.0,3.0,2.0,2.26,Stoneham,2180.0,1462.0,1988-06-01,Middlesex
1383,899000.0,4.0,2.0,0.18,Arlington,2474.0,2869.0,1995-07-18,Middlesex
1384,725000.0,3.0,2.0,0.3,Melrose,2176.0,1561.0,2009-11-16,Middlesex
1385,875000.0,4.0,3.0,0.15,Arlington,2474.0,2250.0,2008-04-04,Middlesex
1386,549000.0,2.0,1.0,0.04,Boston,2130.0,966.0,2011-06-10,Suffolk
1387,679900.0,3.0,2.0,0.09,Waltham,2453.0,1344.0,2004-01-20,Middlesex
1388,899999.0,3.0,2.0,0.24,Belmont,2478.0,1290.0,2011-06-30,Middlesex
1389,2195000.0,5.0,4.0,0.25,Newton,2465.0,3329.0,1992-02-14,Middlesex
1390,525000.0,1.0,1.0,0.32,Cambridge,2138.0,540.0,2007-10-26,Middlesex
1391,429900.0,3.0,1.0,0.06,Wakefield,1880.0,1236.0,2007-07-18,Middlesex
1392,849900.0,4.0,2.0,0.12,Medford,2155.0,2052.0,2000-11-20,Middlesex
1393,849900.0,3.0,3.0,0.36,North Reading,1864.0,2510.0,2004-08-27,Middlesex
1394,719000.0,3.0,2.0,0.54,Wilmington,1887.0,2054.0,2002-04-30,Middlesex
