,price,bed,bath,acre_lot,house_size,clusters,cluster
2558,6195000.0,4.0,5.0,0.12,2624.0,2,dark purple
2559,4495000.0,5.0,5.0,0.12,3824.0,2,dark purple
2560,11900000.0,6.0,6.0,0.44,4000.0,1,purple
2561,4695000.0,5.0,5.0,0.26,2585.0,2,dark purple
2562,4649000.0,4.0,5.0,0.12,3919.0,2,dark purple
2563,675000.0,3.0,2.0,0.58,1872.0,0,pink
2564,3995000.0,4.0,6.0,0.46,3450.0,2,dark purple
2565,6995000.0,5.0,5.0,2.69,7032.0,1,purple
2566,1600000.0,4.0,4.0,0.57,2746.0,2,dark purple
2567,3399000.0,4.0,4.0,1.26,3518.0,2,dark purple
2568,775000.0,3.0,2.0,0.13,1075.0,0,pink
2569,775000.0,2.0,1.0,0.22,1000.0,0,pink
2570,950000.0,3.0,4.0,0.06,1320.0,0,pink
2571,995000.0,3.0,2.0,0.21,1300.0,0,pink
2572,1399000.0,2.0,4.0,0.23,2189.0,0,pink
2573,1499000.0,3.0,4.0,0.29,2764.0,0,pink
2574,2750000.0,2.0,4.0,0.12,3076.0,0,pink
2575,1500000.0,4.0,2.0,1.65,1552.0,0,pink
2576,1795000.0,4.0,3.0,0.28,2038.0,0,pink
2577,349900.0,2.0,1.0,0.18,672.0,0,pink
2578,425000.0,3.0,1.0,0.22,1579.0,0,pink
2579,420000.0,3.0,1.0,0.19,802.0,0,pink
2580,699900.0,3.0,3.0,0.34,1600.0,0,pink
2581,899900.0,3.0,4.0,0.35,4616.0,2,dark purple
2582,1200000.0,4.0,6.0,0.88,6418.0,2,dark purple
2583,2500000.0,3.0,2.0,4.66,1650.0,0,pink
2584,2950000.0,4.0,5.0,0.6,4190.0,2,dark purple
2585,525000.0,2.0,1.0,0.39,1008.0,0,pink
2586,599000.0,4.0,3.0,0.47,2066.0,0,pink
2587,879000.0,5.0,3.0,0.84,3172.0,2,dark purple
2588,749000.0,3.0,3.0,0.53,2210.0,0,pink
2589,699900.0,3.0,3.0,66.0,2492.0,0,pink
2590,549000.0,4.0,2.0,0.26,1632.0,0,pink
2591,799000.0,3.0,3.0,1.07,2149.0,0,pink
2592,899000.0,4.0,2.0,0.32,1564.0,0,pink
2593,1199000.0,4.0,3.0,1.18,3968.0,2,dark purple
2594,750000.0,4.0,4.0,0.28,1789.0,0,pink
2595,675000.0,3.0,2.0,0.23,1138.0,0,pink
2596,2950000.0,5.0,6.0,0.65,5166.0,2,dark purple
2597,750000.0,3.0,3.0,0.22,1631.0,0,pink
2598,1595000.0,4.0,4.0,6.98,2600.0,2,dark purple
2599,1575000.0,3.0,6.0,0.41,4000.0,2,dark purple
2600,2290000.0,3.0,4.0,0.39,3800.0,2,dark purple
2601,549900.0,3.0,2.0,0.34,2369.0,0,pink
2602,519000.0,3.0,2.0,0.48,1884.0,0,pink
2603,1299000.0,3.0,4.0,0.54,4444.0,2,dark purple
2604,459000.0,7.0,6.0,0.09,5608.0,2,dark purple
2605,1395000.0,4.0,5.0,1.13,3216.0,2,dark purple
2606,3195000.0,5.0,6.0,3.06,5721.0,2,dark purple
2607,2399000.0,4.0,4.0,1.02,3499.0,2,dark purple
2608,1349000.0,2.0,3.0,0.5,1900.0,0,pink
2609,8250000.0,5.0,6.0,0.44,5207.0,1,purple
2610,1149000.0,5.0,4.0,1.07,3803.0,2,dark purple
2611,28000000.0,8.0,12.0,1.07,8817.0,1,purple
2612,2999000.0,4.0,5.0,0.94,2510.0,2,dark purple
2613,4995000.0,4.0,4.0,0.09,4351.0,2,dark purple
2614,3495000.0,6.0,5.0,1.22,5302.0,2,dark purple
2615,23750000.0,6.0,9.0,6.24,7609.0,1,purple
2616,2500000.0,3.0,2.0,0.62,1536.0,0,pink
2617,2495000.0,2.0,2.0,0.07,850.0,0,pink
2618,2900000.0,6.0,2.0,0.05,2745.0,2,dark purple
2619,3350000.0,4.0,3.0,0.07,1776.0,0,pink
2620,3800000.0,5.0,6.0,0.05,2350.0,2,dark purple
2621,12450000.0,5.0,9.0,2.38,8333.0,1,purple
2622,3950000.0,2.0,2.0,0.09,1539.0,0,pink
2623,5950000.0,9.0,6.0,0.14,2881.0,2,dark purple
2624,10950000.0,6.0,6.0,3.17,6185.0,1,purple
2625,7395000.0,7.0,10.0,1.84,6953.0,1,purple
2626,3695000.0,5.0,5.0,0.11,3516.0,2,dark purple
2627,5450000.0,3.0,5.0,3.15,2979.0,2,dark purple
2628,850000.0,3.0,3.0,1.0,2820.0,0,pink
2629,2399000.0,4.0,4.0,1.24,3499.0,2,dark purple
2630,489900.0,3.0,2.0,0.33,1380.0,0,pink
2631,400000.0,3.0,3.0,0.65,2332.0,0,pink
2632,734999.0,3.0,2.0,0.4,2075.0,0,pink
2633,1050000.0,3.0,3.0,0.4,2722.0,0,pink
2634,1699000.0,3.0,4.0,0.54,4469.0,2,dark purple
2635,749000.0,3.0,4.0,0.46,1875.0,0,pink
2636,1095000.0,3.0,4.0,1.0,3440.0,2,dark purple
2637,749900.0,5.0,6.0,1.0,2400.0,2,dark purple
2638,1125000.0,4.0,3.0,0.13,2182.0,0,pink
2639,1490000.0,3.0,4.0,0.33,2800.0,0,pink
2640,2995000.0,5.0,5.0,0.72,3750.0,2,dark purple
2641,1950000.0,4.0,4.0,0.37,3500.0,2,dark purple
2642,860000.0,3.0,3.0,1.39,3250.0,0,pink
2643,694000.0,4.0,3.0,1.1,2472.0,0,pink
2644,1200000.0,5.0,3.0,1.35,3846.0,2,dark purple
2645,675000.0,3.0,2.0,1.0,2088.0,0,pink
2646,725000.0,4.0,3.0,0.5,2300.0,0,pink
2647,639000.0,3.0,2.0,0.62,1538.0,0,pink
2648,826789.0,5.0,4.0,0.5,3178.0,2,dark purple
2649,599000.0,3.0,3.0,1.01,1709.0,0,pink
2650,609000.0,4.0,2.0,0.3,1464.0,0,pink
2651,1350000.0,9.0,9.0,0.7,4940.0,2,dark purple
2652,749900.0,3.0,3.0,1.0,2024.0,0,pink
2653,1649000.0,3.0,3.0,0.46,5612.0,2,dark purple
2654,2150000.0,3.0,4.0,0.25,3016.0,2,dark purple
2655,649000.0,3.0,2.0,0.38,2219.0,0,pink
2656,673000.0,4.0,2.0,0.35,1700.0,0,pink
2657,930000.0,2.0,3.0,4.58,1816.0,0,pink
2658,390000.0,2.0,1.0,0.38,960.0,0,pink
2659,429000.0,3.0,2.0,0.48,1232.0,0,pink
2660,460000.0,2.0,1.0,0.58,884.0,0,pink
2661,759900.0,4.0,3.0,0.64,2886.0,0,pink
2662,1049900.0,5.0,4.0,0.74,4773.0,2,dark purple
2663,1195000.0,3.0,3.0,1.9,3427.0,0,pink
2664,1099000.0,3.0,3.0,0.4,2619.0,0,pink
2665,595000.0,3.0,2.0,0.56,1487.0,0,pink
2666,949900.0,2.0,2.0,1.0,1492.0,0,pink
2667,964900.0,3.0,3.0,1.0,2823.0,0,pink
2668,649000.0,3.0,3.0,0.39,2060.0,0,pink
2669,689000.0,3.0,2.0,0.29,1572.0,0,pink
2670,759000.0,4.0,3.0,0.24,2177.0,0,pink
2671,2295000.0,5.0,7.0,0.5,5679.0,2,dark purple
2672,569000.0,4.0,2.0,0.54,1875.0,0,pink
2673,369900.0,3.0,1.0,0.34,960.0,0,pink
2674,499900.0,3.0,3.0,0.29,2124.0,0,pink
2675,525000.0,3.0,2.0,0.3,1320.0,0,pink
2676,549900.0,3.0,2.0,0.56,1456.0,0,pink
2677,1999999.0,5.0,4.0,1.7,5000.0,2,dark purple
2678,619000.0,3.0,2.0,0.37,1876.0,0,pink
