,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
136791,479000.0,3.0,2.0,0.38,Raynham,2767.0,1786.0,2009-08-21
136835,435500.0,3.0,2.0,0.37,West Bridgewater,2379.0,1152.0,2005-12-02
136841,419000.0,5.0,2.0,0.22,Taunton,2780.0,1800.0,2009-05-08
136918,624900.0,4.0,3.0,0.37,Raynham,2767.0,3120.0,1991-11-18
136929,735000.0,4.0,4.0,0.45,Norton,2766.0,2901.0,1991-09-20
137001,529900.0,3.0,3.0,1.16,Norton,2766.0,1908.0,1987-08-19
137003,475000.0,3.0,2.0,0.39,Brockton,2301.0,1856.0,2001-03-30
137086,550000.0,3.0,3.0,0.28,Brockton,2301.0,2038.0,2007-01-11
137127,560000.0,3.0,2.0,0.26,Brockton,2301.0,2118.0,1999-09-03
137133,1300000.0,6.0,6.0,1.05,Easton,2356.0,5300.0,2004-02-27
137295,469900.0,3.0,2.0,0.17,Brockton,2301.0,1804.0,1993-10-14
137306,1299900.0,4.0,3.0,0.93,Easton,2356.0,3874.0,1986-08-25
137389,469000.0,3.0,2.0,0.28,Brockton,2302.0,1768.0,2004-03-01
137390,449900.0,3.0,2.0,0.14,Brockton,2301.0,1260.0,2002-05-01
137431,669900.0,5.0,3.0,0.26,Brockton,2302.0,3280.0,2008-03-17
137442,484900.0,3.0,2.0,0.27,Brockton,2302.0,1452.0,2012-08-10
137528,655000.0,7.0,3.0,0.1,Brockton,2302.0,2237.0,2005-09-16
137550,449900.0,3.0,2.0,0.29,Abington,2351.0,1575.0,2006-05-31
137655,649900.0,3.0,2.0,0.45,Abington,2351.0,1932.0,1985-06-03
137659,489900.0,4.0,2.0,0.28,Brockton,2301.0,1314.0,2006-02-06
137802,389900.0,3.0,1.0,0.16,Brockton,2302.0,1338.0,2009-10-08
137888,589900.0,3.0,2.0,0.25,Abington,2351.0,1860.0,2001-09-28
137929,529900.0,5.0,2.0,0.55,Abington,2351.0,1587.0,2000-04-21
